Course,"Course Code","Non-URM Enrollment","URM Enrollment","Non-URM AVG. GPA","URM AVG. GPA","GPA Gap"
"Introduction To Psychology",PSY2201,376,606,3.17,2.79,0.39
"Introduction To Sociology",SOC2201,179,363,2.85,2.62,0.23
"Multicultural Psychology",PSY3325,192,304,3.24,3.05,0.19
"Abnormal Psychology",PSY4150,150,239,3.03,2.86,0.17
"Research Methods In Sociology",SOC2205,104,296,3.26,3.11,0.15
"Gender and Sexuality",SOC3328,73,216,3.69,3.57,0.12
"Cognitive Processes",PSY3334,104,207,3.33,3.19,0.14
"Senior Seminar",PSY4611,89,172,3.61,3.5,0.11
"Basic Counseling Skills",PSY4170,96,164,3.32,3.29,0.03
"Soc Inequality Sport and Body",SOC4451,38,65,3.03,2.83,0.19
"Basic Developmental Psychology",PSY3305,135,248,3.48,3.44,0.04
"Senior Symposium",SOC4611,43,158,3.49,3.2,0.29
"Theories of Counseling",PSY4121,50,113,3.22,3.31,-0.09
"Statistics For Sociology",SOC3307,83,258,3.34,3.11,0.23
"Careers In Psychology",PSY2222,102,181,3.83,3.75,0.07
"Statistics For Psychology",PSY3307,103,186,3.13,2.97,0.16
"Juvenile Delinquency",CRM3360,16,83,2.25,2.5,-0.25
"Human Sexuality,  Relationship",PSY4455,319,434,3.22,2.94,0.28
"Social Psychology",PSY4401,131,245,3.2,3.14,0.06
"Probation and Parole",CRM3320,20,111,3,3.07,-0.07
"Psychology of Personality",PSY4403,74,154,3.33,3.06,0.27
"Social Strat and Inequality",SOC3309,111,288,3.18,3.06,0.12
"Latina and O Sociology",SOC3313,21,120,3.29,3.51,-0.22
"Race and Ethnic Relations",SOC3320,49,138,3.09,3.11,-0.01
"Contemp Sociology Theory",SOC3306,89,260,3.26,3.18,0.07
"Program Evaluation Lab",PSY4430A,47,77,3.7,3.78,-0.07
"Statistics For Psychology Act",PSY3307A,103,186,3.06,2.96,0.1
"Crime Criminalization Society",SOC3345,57,167,3.34,3.09,0.25
"Statistics For Sociology Lab",SOC3307L,83,257,3.47,3.33,0.14
"Qualitative Methods In Psych",PSY4404,16,25,3.12,2.41,0.71
"Black Sociology",SOC3314,N<10,37,N<10,3.17,N/A
"Classic Sociological Theory",SOC3305,114,333,3.29,3.13,0.15
"Program Evaluation",PSY4430,47,77,3.78,3.78,0.01
"Introduction To Criminology",CRM2201,109,345,2.74,2.52,0.22
"Crime Analysis Activity",CRM3306A,11,34,3.22,3.28,-0.05
"Quantitative Mthds Soclgy Lab",SOC4100L,15,59,3.93,3.6,0.33
"Adolescent Psychology",PSY3312,82,132,3,2.87,0.12
"Qualitative Methods For Soc",SOC4110,28,77,3.84,3.71,0.13
"Research Methods In Psychology",PSY2204,62,109,3.12,2.92,0.2
"Social Work Practice",SW3301,14,47,3.29,3.63,-0.34
"Quantitative Mthds Sociology",SOC4100,15,59,3.85,3.5,0.35
"Health Psychology",PSY3326,123,189,3.2,3.14,0.06
"Qualitative Mthds In Psych Act",PSY4404A,16,25,3.59,3.25,0.34
"Community and Urban Sociology",SOC3325,47,124,3.47,3.42,0.05
"Survey Research Act",PSY4444A,33,63,3.69,3.53,0.16
"Mind Brain Behvr Intgrtd View",PSY2210,83,135,3.08,2.91,0.17
"Crime Analysis",CRM3306,11,34,3.3,3.2,0.1
"Soc Welfare Policy Issues",SW3310,29,90,3.43,3.4,0.02
"Contemp Treat of Law Violators",CRM3318,26,70,3.21,3.04,0.17
"Impact Colonization On Hawaii",SOC4465,12,27,3.58,3.73,-0.16
"Sociology of Education Svc Lrn",SOC3360S,N<10,33,N<10,2.99,N/A
"Intro Soc Work and Soc Welfare",SW2201,71,241,3.22,3.24,-0.02
Policing,CRM3319,23,73,3.16,3.37,-0.22
"Experimental Psychology",PSY4433,109,173,3.19,2.92,0.27
"Experimental Psychology Act",PSY4433A,109,173,3.19,2.92,0.27
"Organizational Psychology",PSY3332,80,158,3.39,3.35,0.04
"Child Psychology For Educators",PSY2206,16,30,2.36,2.84,-0.49
Internship,SW4411,28,99,3.93,3.99,-0.07
"Psychology of Women",PSY3322,13,35,3.62,3.17,0.44
"Industrial Psychology",PSY3333,36,53,2.3,2.16,0.14
"Survey Research",PSY4444,33,63,3.73,3.63,0.1
"Family Violence",SW3322,52,154,3.41,3.34,0.07
"Spec Study For Ud Students",SOC4000,N<10,20,N<10,3.98,N/A
"Socialization,  Self and Socie",SOC4402,59,200,3.16,3.02,0.15
"Child Psych,  Early Childhood",PSY3310,63,127,3.64,3.59,0.05
"Social Work Pract Lab",SW3301L,14,47,3.57,3.72,-0.15
"Memory and Amnesia",PSY3335,76,152,3.17,3.26,-0.09
"Community Psychology",PSY4250,18,30,2.96,2.85,0.12
"Spec Study For Ud Students",PSY4000,33,22,3.96,4,-0.04
"Child Psych,  Mid Childhood",PSY3311,18,30,3.49,3.69,-0.2
"Theories of Learning",PSY4402,39,42,3.44,2.91,0.53
"Qual Mthds For Soclgy Lab",SOC4110L,28,77,3.74,3.77,-0.03
"Death and Dying",SW4470,N<10,51,N<10,3.6,N/A

